GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
32,920.8308,2446.1682,2961.0742,0.0,0.0,0.0,-2406.7354,-18940.4491,1109.9788,10569.7502,-5163.8097,103.73322744,-3339.382300000001,-5060.07647256,-8399.458772560001
33,889.5351,2409.1613,2929.1829,0.0,0.0,0.0,-2390.4609,-19046.5863,1086.2382,10620.9855,-5089.3611,105.04149264,-3501.944199999998,-4984.31960736,-8486.263807359997
34,900.8167,2386.0765,2951.2698,0.0,0.0,0.0,-2424.2706,-19055.098,1111.4978,10637.5949,-5077.3587,101.53348848,-3492.1129,-4975.825211519999,-8467.938111520001
35,923.5632,2506.0466,2960.5141,0.0,0.0,0.0,-2372.9528,-19056.1532,1117.0617,10685.5858,-5144.0893,107.83025568,-3236.3346,-5036.25904432,-8272.593644319999
36,891.7933,2429.3088,2988.4176,0.0,0.0,0.0,-2387.01,-18959.8535,1105.7723,10572.9752,-5154.6848,103.15803456,-3358.5962999999992,-5051.52676544,-8410.12306544
37,895.012,2485.8179,2968.2128,0.0,0.0,0.0,-2415.2285,-18909.5943,1099.4169,10544.4768,-5141.4891,101.22736751999999,-3331.8863999999994,-5040.261732479999,-8372.148132479999
38,873.0474,2381.9217,2953.7912,0.0,0.0,0.0,-2386.2255,-19045.2742,1108.9506,10598.2269,-5046.221,104.61751488,-3515.5619000000006,-4941.603485119999,-8457.16538512
39,903.7765,2424.0372,2922.9342,0.0,0.0,0.0,-2435.6817,-18965.5968,1129.7089,10581.1483,-5088.5765,103.14772127999998,-3439.673399999998,-4985.42877872,-8425.102178719999
40,923.0762,2396.7994,2923.2929,0.0,0.0,0.0,-2382.0439,-19016.1051,1102.8144,10658.0243,-5129.0439,104.65101143999999,-3394.141800000003,-5024.39288856,-8418.534688560001
41,927.3082,2416.1765,2921.7681,0.0,0.0,0.0,-2400.4142,-19071.1352,1094.1167,10645.499,-5059.6738,104.95171151999999,-3466.680900000001,-4954.72208848,-8421.40298848
42,872.5361,2412.6012,2971.8918,0.0,0.0,0.0,-2418.5879,-19106.3107,1114.1605,10602.369,-4990.7788,102.41138735999999,-3551.340000000002,-4888.36741264,-8439.707412640002
43,909.9269,2452.277,2918.4799,0.0,0.0,0.0,-2377.6612,-18998.9197,1092.1193,10564.1298,-5083.234,105.14917728,-3439.6479999999974,-4978.08482272,-8417.732822719998
44,921.4619,2403.9297,2915.4701,0.0,0.0,0.0,-2412.1261,-19042.0423,1106.7931,10660.9949,-5087.5867,105.30038664,-3445.5187000000005,-4982.286313359999,-8427.80501336
45,909.9324,2419.3857,2956.7483,0.0,0.0,0.0,-2400.4275,-18852.157,1114.0626,10632.4401,-5268.0354,104.31898488,-3220.0154,-5163.7164151199995,-8383.731815120002
46,896.5673,2449.2497,2947.4664,0.0,0.0,0.0,-2408.0116,-18974.7185,1107.8355,10672.4527,-5162.2746,106.00644168000001,-3309.1584999999995,-5056.26815832,-8365.426658319999
47,873.0332,2468.9333,2958.8885,0.0,0.0,0.0,-2406.8823,-18822.5805,1075.3659,10549.7784,-5207.7805,105.95896199999999,-3303.4635000000017,-5101.821538,-8405.285038000002
48,870.3152,2418.3128,2963.1443,0.0,0.0,0.0,-2395.4006,-18962.4329,1106.8873,10689.872,-5208.6821,104.34982536,-3309.3019000000004,-5104.33227464,-8413.634174640001
49,905.6125,2409.726,2942.899,0.0,0.0,0.0,-2412.4473,-19066.1172,1128.0473,10637.6363,-5095.3619,103.70572487999999,-3454.643400000001,-4991.65617512,-8446.299575120001
50,910.268,2399.5653,2980.5128,0.0,0.0,0.0,-2409.575,-19132.3737,1121.5628,10643.8005,-4990.9093,104.31639288,-3486.2392999999993,-4886.59290712,-8372.83220712
51,889.6094,2467.1196,2965.8592,0.0,0.0,0.0,-2406.387,-19019.5316,1104.9438,10580.7511,-5100.9966,103.27595904,-3417.6354999999985,-4997.72064096,-8415.356140959999
52,892.0253,2421.6054,2937.5728,0.0,0.0,0.0,-2400.2311,-18931.8999,1104.6367,10541.8456,-5122.3233,104.50194696,-3434.445200000002,-5017.82135304,-8452.266553040003
53,915.2293,2408.2268,2914.9525,0.0,0.0,0.0,-2432.142,-18948.3851,1104.1629,10598.5011,-5125.4112,102.94945919999999,-3439.4545000000016,-5022.4617407999995,-8461.916240800003
54,879.7015,2409.4994,2954.0522,0.0,0.0,0.0,-2400.0867,-18957.377,1098.0375,10684.8204,-5176.6367,105.96144095999999,-3331.3526999999995,-5070.67525904,-8402.027959039999
55,901.3427,2397.5335,2927.3652,0.0,0.0,0.0,-2371.5386,-18922.7644,1103.8066,10606.6135,-5176.7104,106.76891952,-3357.6414999999997,-5069.94148048,-8427.58298048
56,854.4635,2440.292,2974.8833,0.0,0.0,0.0,-2423.557,-19089.596,1106.3367,10609.0063,-5037.6716,104.62716144,-3528.1712000000025,-4933.044438559999,-8461.215638560003
57,895.6885,2458.2517,2954.0826,0.0,0.0,0.0,-2415.2961,-19030.4822,1101.3872,10637.7398,-5063.2972,107.94975263999999,-3398.628499999999,-4955.34744736,-8353.97594736
58,851.5949,2484.4222,2960.0063,0.0,0.0,0.0,-2400.9077,-18948.0332,1070.9486,10611.4639,-5163.7105,108.55585224,-3370.505000000001,-5055.15464776,-8425.659647760001
59,882.3835,2354.0535,2963.9098,0.0,0.0,0.0,-2409.1866,-19087.4701,1086.6886,10595.7275,-4999.6561,104.50073808,-3613.8938,-4895.15536192,-8509.04916192
60,901.7565,2401.905,2961.2184,0.0,0.0,0.0,-2422.2583,-18943.2256,1102.0965,10568.2807,-5118.4716,101.64538872,-3430.226800000002,-5016.82621128,-8447.05301128
61,913.0716,2438.8594,2959.0632,0.0,0.0,0.0,-2429.0186,-18951.5813,1100.9722,10640.2667,-5159.0793,103.28774544000001,-3328.3668000000016,-5055.79155456,-8384.15835456
62,872.2818,2449.5395,2972.5533,0.0,0.0,0.0,-2365.6086,-19026.4054,1101.0943,10609.3573,-5094.2438,105.24310128,-3387.1877999999997,-4989.00069872,-8376.18849872
63,857.473,2414.7099,2946.7961,0.0,0.0,0.0,-2385.413,-18944.6296,1097.7524,10667.3935,-5189.1961,103.41567216,-3345.917700000002,-5085.78042784,-8431.698127840004
64,864.6338,2414.5689,2948.6191,0.0,0.0,0.0,-2396.9273,-18907.8521,1099.8919,10644.8027,-5217.3352,104.56900631999999,-3332.262999999999,-5112.7661936800005,-8445.02919368
65,909.2313,2388.0965,2979.561,0.0,0.0,0.0,-2391.975,-18865.3781,1102.4002,10596.0753,-5219.7886,104.89350599999999,-3281.988800000001,-5114.8950939999995,-8396.883894
66,898.744,2437.2596,2963.1562,0.0,0.0,0.0,-2437.3307,-18832.9708,1091.5395,10576.9474,-5226.3646,103.5955008,-3302.6548000000003,-5122.7690992,-8425.423899200001
67,928.5874,2468.8831,2958.6362,0.0,0.0,0.0,-2431.051,-18891.2898,1078.2433,10625.6718,-5249.5765,101.15894159999999,-3262.3189999999977,-5148.4175584,-8410.736558399998
68,963.3058,2383.002,2966.9182,0.0,0.0,0.0,-2438.5478,-19056.517,1087.8924,10651.3266,-5067.5721,103.90366728,-3442.6197999999986,-4963.66843272,-8406.288232719999
69,891.5548,2441.35,2954.491,0.0,0.0,0.0,-2438.7023,-18887.031,1109.5684,10629.1933,-5188.9807,103.82494248,-3299.575799999997,-5085.15575752,-8384.731557519997
70,934.3938,2461.2408,2924.4902,0.0,0.0,0.0,-2398.1651,-18753.0995,1104.1234,10629.7496,-5372.8817,108.65285639999999,-3097.2668000000012,-5264.2288436,-8361.495643600001
71,916.3835,2413.8607,2942.6891,0.0,0.0,0.0,-2415.5945,-18992.1499,1120.2326,10663.6714,-5179.5563,102.76669512,-3350.9071000000004,-5076.78960488,-8427.69670488
72,896.66,2400.327,2947.1901,0.0,0.0,0.0,-2424.076,-18852.2651,1086.4803,10622.3456,-5247.9342,104.9660316,-3323.338100000001,-5142.9681684,-8466.3062684
73,925.9735,2351.8846,2930.9839,0.0,0.0,0.0,-2367.7797,-18995.8053,1118.6327,10670.1253,-5199.6814,105.90446592,-3365.9849999999988,-5093.7769340800005,-8459.761934079997
74,890.3895,2392.3297,2978.5032,0.0,0.0,0.0,-2389.1591,-18911.2527,1115.7529,10611.6448,-5222.3939,104.88013344,-3311.7917000000016,-5117.5137665600005,-8429.305466560001
75,860.1973,2328.6984,2940.6129,0.0,0.0,0.0,-2396.9465,-18839.1,1124.0879,10655.9529,-5301.4123,108.23486111999999,-3326.4970999999987,-5193.17743888,-8519.67453888
76,935.5822,2412.2107,2940.4018,0.0,0.0,0.0,-2381.4696,-18983.6135,1112.9217,10643.1431,-5182.6982,108.31503527999999,-3320.8235999999997,-5074.3831647199995,-8395.206764719998
77,963.9299,2433.1988,2925.8139,0.0,0.0,0.0,-2395.2606,-18918.8489,1099.1759,10640.1717,-5212.3613,103.89682008,-3251.819299999999,-5108.46447992,-8360.283779919999
78,911.0481,2377.2685,2972.5182,0.0,0.0,0.0,-2413.8935,-18769.6629,1101.6011,10552.7426,-5281.6155,107.69182991999999,-3268.3778999999995,-5173.92367008,-8442.301570079999
79,882.3521,2423.1361,2939.5943,0.0,0.0,0.0,-2383.5119,-18876.9681,1098.1564,10595.2657,-5211.1035,108.55370088,-3321.9753999999975,-5102.54979912,-8424.525199119997
80,900.8442,2383.5877,2925.8535,0.0,0.0,0.0,-2367.771,-18839.4894,1114.0956,10644.6261,-5265.993,109.40274792,-3238.2532999999985,-5156.59025208,-8394.84355208
81,896.8324,2401.9806,2985.8179,0.0,0.0,0.0,-2408.193,-18938.3927,1091.298,10624.508,-5168.1646,106.59687192,-3346.148799999999,-5061.56772808,-8407.71652808
82,943.1705,2483.5902,2940.3586,0.0,0.0,0.0,-2360.4138,-19006.2466,1082.1673,10607.5645,-5115.5069,110.47876128,-3309.809299999997,-5005.02813872,-8314.837438719998
83,847.5918,2466.0056,2937.1898,0.0,0.0,0.0,-2416.5885,-18944.5526,1119.1544,10634.1299,-5138.7144,106.86571272,-3357.069599999999,-5031.8486872799995,-8388.91828728
84,931.6239,2430.7773,2958.8584,0.0,0.0,0.0,-2385.6613,-18673.337,1082.9271,10562.1605,-5404.814,108.33950304,-3092.651099999999,-5296.474496960001,-8389.125596959999
85,883.0666,2438.4691,2977.7935,0.0,0.0,0.0,-2384.9223,-18841.5515,1093.2386,10592.2947,-5265.503,106.18916256,-3241.6113000000005,-5159.31383744,-8400.925137440001
86,896.5449,2528.2773,2959.0635,0.0,0.0,0.0,-2401.2335,-18870.8183,1103.3822,10592.0931,-5214.8981,108.35916191999999,-3192.6907999999985,-5106.538938080001,-8299.22973808
87,874.1173,2378.7516,2987.8506,0.0,0.0,0.0,-2410.2618,-18817.7909,1090.8798,10615.6922,-5275.1012,107.63489016,-3280.761200000001,-5167.46630984,-8448.227509840002
88,903.3353,2439.6643,2944.0689,0.0,0.0,0.0,-2403.6187,-18799.1582,1078.0833,10587.2808,-5258.5392,106.6382028,-3250.3443000000007,-5151.9009972,-8402.2452972
89,882.0723,2361.3224,2943.4282,0.0,0.0,0.0,-2416.3009,-18691.8746,1099.268,10603.5818,-5357.2514,106.12370016,-3218.5028,-5251.12769984,-8469.63049984
90,906.6801,2456.1417,2967.6105,0.0,0.0,0.0,-2388.6975,-18854.9114,1117.0042,10663.762,-5246.831,104.59639368,-3132.4104000000007,-5142.23460632,-8274.64500632
91,935.8359,2403.1089,2913.9991,0.0,0.0,0.0,-2409.4029,-18765.4177,1083.8576,10547.8313,-5213.2346,101.64459456,-3290.1878000000015,-5111.59000544,-8401.77780544
92,896.3585,2434.0982,2967.466,0.0,0.0,0.0,-2426.9911,-18777.3624,1095.4278,10639.5415,-5316.0154,103.25431655999999,-3171.461500000003,-5212.76108344,-8384.222583440003
93,916.9213,2393.0346,2918.0316,0.0,0.0,0.0,-2405.9483,-18886.3537,1098.8585,10644.0869,-5230.283,106.40764224,-3321.3691,-5123.87535776,-8445.24445776
94,875.6483,2416.7398,2964.8687,0.0,0.0,0.0,-2354.5409,-18987.5258,1102.7042,10625.4891,-5137.3499,104.33974968,-3356.6165999999994,-5033.01015032,-8389.626750319998
95,960.3531,2417.1981,2903.1644,0.0,0.0,0.0,-2389.1565,-18843.7081,1087.2678,10567.4803,-5168.25,104.97049416,-3297.4009000000024,-5063.27950584,-8360.680405840003
96,884.6309,2449.4787,2943.8352,0.0,0.0,0.0,-2412.3718,-18630.3143,1086.1659,10582.2182,-5371.8689,103.88660328,-3096.3571999999986,-5267.982296720001,-8364.33949672
97,912.1715,2446.4313,2911.7203,0.0,0.0,0.0,-2410.1189,-18893.6806,1109.8079,10672.6208,-5200.654,103.47798096,-3251.047699999999,-5097.17601904,-8348.22371904
98,872.558,2379.6638,2963.3456,0.0,0.0,0.0,-2378.3379,-18882.5295,1093.7144,10615.6281,-5204.825,103.85923536,-3335.9575000000004,-5100.96576464,-8436.923264640001
99,900.7993,2413.8585,2929.2605,0.0,0.0,0.0,-2380.7311,-18929.2404,1081.5072,10648.383,-5225.2507,102.25710864,-3336.1629999999986,-5122.993591359999,-8459.156591359997

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,882.4164,2430.0172,2986.5734,0.0,0.0,0.0,-2346.8534,-18710.9347,1078.4241,10657.7375,-5351.4837,107.05035815999999,-3022.6195000000025,-5244.43334184,-8267.05284184
1,927.8502,2407.7356,2931.6056,0.0,0.0,0.0,-2371.7041,-18732.226,1083.0759,10679.4159,-5377.5531,109.81254888,-3074.2468999999983,-5267.74055112,-8341.98745112
2,871.3918,2398.1541,2909.7659,0.0,0.0,0.0,-2346.9239,-18634.3057,1105.7463,10650.6912,-5461.2941,111.63529439999999,-3045.480300000001,-5349.6588056,-8395.139105600003
3,898.748,2375.4387,2916.3561,0.0,0.0,0.0,-2363.2506,-18722.157,1086.5993,10596.2025,-5278.8045,106.98133248,-3212.063,-5171.82316752,-8383.88616752
4,862.5175,2386.273,2922.8565,0.0,0.0,0.0,-2328.6686,-18864.007,1109.5278,10693.4617,-5310.7752,111.76049664,-3218.039100000002,-5199.01470336,-8417.053803360002
5,923.3444,2465.4379,2965.5916,0.0,0.0,0.0,-2346.5544,-18731.4854,1085.5216,10583.3819,-5322.3121,106.2152424,-3054.7623999999996,-5216.0968576000005,-8270.8592576
6,884.4286,2446.1171,2955.2505,0.0,0.0,0.0,-2344.2692,-18798.366,1091.1917,10674.2893,-5294.0717,108.00215784,-3091.358000000002,-5186.06954216,-8277.427542160003
7,905.7833,2458.6779,2918.6161,0.0,0.0,0.0,-2403.0492,-18916.5467,1089.5292,10793.6877,-5277.734,103.43455704,-3153.301699999998,-5174.29944296,-8327.601142959998
8,893.9867,2392.3745,2965.5643,0.0,0.0,0.0,-2366.9666,-19012.4198,1089.5348,10816.4418,-5223.5603,107.7467328,-3221.4843,-5115.8135672,-8337.2978672
9,901.1385,2457.9467,2944.7881,0.0,0.0,0.0,-2353.5494,-18996.901,1092.8891,10700.7354,-5190.254,107.3639736,-3252.9526000000023,-5082.8900264,-8335.8426264
10,879.8007,2373.0953,2920.5204,0.0,0.0,0.0,-2372.9283,-19070.2967,1100.7824,10697.0342,-5104.6987,106.50585672,-3471.9919999999984,-4998.19284328,-8470.18484328
11,901.9488,2398.4189,2965.4527,0.0,0.0,0.0,-2386.9588,-18928.5164,1108.5376,10706.7645,-5222.0944,107.50161096,-3234.3527000000013,-5114.59278904,-8348.945489040001
12,875.6035,2402.1121,2962.1391,0.0,0.0,0.0,-2341.8824,-19016.5115,1091.3822,10722.1604,-5199.2132,106.60887287999999,-3304.9966000000004,-5092.604327120001,-8397.60092712
13,900.8654,2378.2274,2959.7021,0.0,0.0,0.0,-2343.0382,-19058.307,1070.1141,10701.8282,-5117.7428,108.25388423999999,-3390.6079999999984,-5009.48891576,-8400.096915759998
14,897.3808,2473.0134,2918.9297,0.0,0.0,0.0,-2357.8867,-18996.3563,1065.7329,10660.0849,-5175.8035,107.80543008,-3339.1013000000003,-5067.99806992,-8407.09936992
15,930.8204,2346.6413,2978.7594,0.0,0.0,0.0,-2358.6551,-19031.7655,1102.375,10737.1414,-5168.7572,107.07842952,-3294.683100000002,-5061.67877048,-8356.361870480003
16,912.2463,2437.512,2947.5875,0.0,0.0,0.0,-2357.8342,-19131.0125,1079.8475,10704.6099,-4991.3797,107.97484032,-3407.0434999999998,-4883.40485968,-8290.448359680002
17,891.0989,2412.3693,2917.2469,0.0,0.0,0.0,-2315.5914,-18882.9412,1117.8234,10709.8125,-5258.5239,110.28860999999999,-3150.1816000000017,-5148.2352900000005,-8298.416890000002
18,920.9166,2424.0855,2959.1364,0.0,0.0,0.0,-2340.1783,-18940.1063,1100.4926,10676.2396,-5234.0376,110.31368616,-3199.4138999999996,-5123.72391384,-8323.13781384
19,851.586,2429.9645,2966.2473,0.0,0.0,0.0,-2363.0205,-18946.6543,1103.1273,10704.6279,-5203.5453,105.60666888,-3254.121799999999,-5097.93863112,-8352.060431119999
20,875.5795,2395.7731,2907.7434,0.0,0.0,0.0,-2343.9567,-18929.1399,1075.8025,10673.7102,-5187.5142,109.67111351999999,-3344.4879,-5077.843086479999,-8422.33098648
21,875.2463,2419.3601,2957.5128,0.0,0.0,0.0,-2344.5822,-18966.0514,1110.3951,10703.6506,-5196.2711,105.23596103999999,-3244.4686999999994,-5091.03513896,-8335.50383896
22,862.8885,2435.4879,2898.8298,0.0,0.0,0.0,-2392.1472,-18826.7059,1086.526,10654.7175,-5281.3251,106.90748423999999,-3280.4033999999992,-5174.41761576,-8454.821015759999
23,862.0261,2405.1963,2951.3281,0.0,0.0,0.0,-2346.2908,-18882.8939,1094.6449,10658.4019,-5243.2758,107.19895392,-3257.5873999999985,-5136.07684608,-8393.66424608
24,852.3989,2425.1987,2923.1002,0.0,0.0,0.0,-2356.9607,-18952.4681,1106.5197,10679.8892,-5170.6263,106.24701744,-3322.3220999999976,-5064.37928256,-8386.701382559997
25,823.0009,2319.9737,2936.6111,0.0,0.0,0.0,-2398.1359,-18931.1722,1090.9752,10694.1917,-5217.1362,107.62695432,-3464.555500000002,-5109.50924568,-8574.064745680003
26,900.8227,2410.8214,2936.5915,0.0,0.0,0.0,-2380.1773,-18943.091,1112.9539,10674.1139,-5172.0242,107.5346028,-3287.964899999999,-5064.4895971999995,-8352.454497199999
27,870.3102,2412.268,2920.361,0.0,0.0,0.0,-2382.7103,-18775.9914,1079.1557,10605.284,-5240.1064,104.83379352,-3271.3228,-5135.27260648,-8406.595406479999
28,911.0165,2410.2459,2930.0269,0.0,0.0,0.0,-2376.4267,-18931.0161,1079.6601,10696.2312,-5216.5927,107.26754831999999,-3280.262199999999,-5109.32515168,-8389.587351679998
29,869.0142,2448.9014,2877.1924,0.0,0.0,0.0,-2376.7142,-19119.4953,1094.5649,10685.7938,-5015.0704,105.51371544,-3520.7428,-4909.55668456,-8430.29948456
30,898.8635,2537.3895,2912.0009,0.0,0.0,0.0,-2366.9649,-19177.6301,1096.5437,10685.376,-4988.3343,106.15007231999999,-3414.4213999999974,-4882.184227680001,-8296.605627679997
31,850.4983,2391.9568,2918.5894,0.0,0.0,0.0,-2328.0133,-19171.0597,1085.3752,10672.4964,-4988.9776,106.37823528,-3580.1569000000018,-4882.59936472,-8462.756264720001
32,914.4244,2425.436,2951.2329,0.0,0.0,0.0,-2381.15,-18955.5336,1097.4749,10632.6507,-5170.9886,105.29073575999999,-3315.4646999999986,-5065.69786424,-8381.162564239998
33,884.4506,2386.1221,2919.7295,0.0,0.0,0.0,-2363.6541,-19056.2906,1074.673,10676.7199,-5095.0412,106.54209863999999,-3478.249599999999,-4988.499101359999,-8466.748701359998
34,895.5949,2365.7633,2939.8605,0.0,0.0,0.0,-2397.798,-19065.0715,1100.3707,10695.9249,-5085.9274,103.09068576,-3465.3552,-4982.836714239999,-8448.191914239998
35,911.5697,2483.9526,2947.0993,0.0,0.0,0.0,-2345.0601,-19070.9566,1107.1833,10743.3417,-5148.0138,109.16499024,-3222.8701,-5038.848809759999,-8261.71890976
36,884.0944,2410.3572,2979.115,0.0,0.0,0.0,-2360.5608,-18966.681,1093.3547,10628.9944,-5163.6582,104.96188728,-3331.326100000002,-5058.69631272,-8390.022412720002
37,888.9824,2467.8582,2957.2495,0.0,0.0,0.0,-2383.753,-18926.5398,1087.265,10601.8068,-5145.8691,102.75395615999999,-3307.1309,-5043.11514384,-8350.24604384
38,861.8883,2366.7534,2937.8785,0.0,0.0,0.0,-2361.9018,-19056.5001,1097.3047,10657.6622,-5051.1019,106.09555175999999,-3496.9148000000005,-4945.00634824,-8441.92114824
39,893.4475,2407.0007,2911.2869,0.0,0.0,0.0,-2409.4694,-18980.777,1119.5146,10640.3946,-5093.1014,104.36073551999999,-3418.6020999999982,-4988.740664479999,-8407.342764479998
40,909.362,2377.5478,2911.744,0.0,0.0,0.0,-2355.3077,-19027.9452,1092.1331,10715.0804,-5133.3393,105.97279968,-3377.385599999996,-5027.366500319999,-8404.752100319996
