species,n_flavonoids_total,n_flavonoids_high_confidence,n_glycosides,n_aglycones,dominant_scaffold_class,query_a_species_alone,count_a_species_alone,query_b_cadd,count_b_cadd,query_c_ttbk1,count_c_ttbk1,query_d_maob,count_d_maob,cadd_footprint_fraction,literature_gap_score,flavonoid_coverage_score,composite_rank_score
Evolvulus alsinoides,6,6,4,2,flavone,"""Evolvulus alsinoides""",60,"""Evolvulus alsinoides"" AND (docking OR ""molecular docking"" OR ""in silico"" OR ""molecular dynamics"" OR ""computer-aided drug design"")",4,"""Evolvulus alsinoides"" AND (TTBK1 OR ""tau tubulin kinase"")",0,"""Evolvulus alsinoides"" AND (MAO-B OR ""monoamine oxidase"")",0,0.06666666666666667,0.9333333333333333,1.0,0.9333333333333333
Desmodium gangeticum,7,1,2,5,pterocarpan/pterocarpene,"""Desmodium gangeticum""",53,"""Desmodium gangeticum"" AND (docking OR ""molecular docking"" OR ""in silico"" OR ""molecular dynamics"" OR ""computer-aided drug design"")",3,"""Desmodium gangeticum"" AND (TTBK1 OR ""tau tubulin kinase"")",0,"""Desmodium gangeticum"" AND (MAO-B OR ""monoamine oxidase"")",1,0.05660377358490566,0.9433962264150944,0.16666666666666666,0.15723270440251572
Clerodendrum serratum,5,2,1,4,flavone,"""Clerodendrum serratum""",18,"""Clerodendrum serratum"" AND (docking OR ""molecular docking"" OR ""in silico"" OR ""molecular dynamics"" OR ""computer-aided drug design"")",4,"""Clerodendrum serratum"" AND (TTBK1 OR ""tau tubulin kinase"")",0,"""Clerodendrum serratum"" AND (MAO-B OR ""monoamine oxidase"")",0,0.2222222222222222,0.7777777777777778,0.3333333333333333,0.25925925925925924
Sida cordifolia,0,0,0,0,NONE - no structurally confirmed flavonoid found,"""Sida cordifolia""",77,"""Sida cordifolia"" AND (docking OR ""molecular docking"" OR ""in silico"" OR ""molecular dynamics"" OR ""computer-aided drug design"")",1,"""Sida cordifolia"" AND (TTBK1 OR ""tau tubulin kinase"")",0,"""Sida cordifolia"" AND (MAO-B OR ""monoamine oxidase"")",1,0.012987012987012988,0.987012987012987,0.0,0.0
Celastrus paniculatus,1,0,1,0,isoflavone,"""Celastrus paniculatus""",73,"""Celastrus paniculatus"" AND (docking OR ""molecular docking"" OR ""in silico"" OR ""molecular dynamics"" OR ""computer-aided drug design"")",4,"""Celastrus paniculatus"" AND (TTBK1 OR ""tau tubulin kinase"")",0,"""Celastrus paniculatus"" AND (MAO-B OR ""monoamine oxidase"")",2,0.0547945205479452,0.9452054794520548,0.0,0.0
Bacopa monnieri,2,2,1,1,flavone,"""Bacopa monnieri""",566,"""Bacopa monnieri"" AND (docking OR ""molecular docking"" OR ""in silico"" OR ""molecular dynamics"" OR ""computer-aided drug design"")",49,"""Bacopa monnieri"" AND (TTBK1 OR ""tau tubulin kinase"")",0,"""Bacopa monnieri"" AND (MAO-B OR ""monoamine oxidase"")",4,0.08657243816254417,0.9134275618374559,0.3333333333333333,0.3044758539458186
