GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
28,1514.1831,4015.4436,5199.1748,0.0,0.0,0.0,-4209.4182,-35027.2156,1853.9884,18706.9966,-5324.7012,151.2824256,-7946.847300000005,-5173.4187744,-13120.266074400004
29,1529.5852,4155.1198,5176.4172,0.0,0.0,0.0,-4251.8955,-35202.2828,1860.6813,18742.1689,-5163.8155,151.86174623999997,-7990.205900000001,-5011.95375376,-13002.159653760002
30,1453.736,4179.7343,5217.3683,0.0,0.0,0.0,-4233.0826,-35237.2379,1862.3653,18722.0698,-5147.069,154.46073528,-8035.046799999996,-4992.60826472,-13027.655064719997
31,1464.2856,4124.6724,5208.7175,0.0,0.0,0.0,-4246.5701,-35283.7313,1866.9918,18774.0737,-5123.8502,152.06338296,-8091.5603999999985,-4971.78681704,-13063.34721704
32,1483.9815,4054.6624,5177.4316,0.0,0.0,0.0,-4236.4621,-35476.64,1875.1537,18796.1499,-4965.3846,150.83295624000002,-8325.723000000002,-4814.55164376,-13140.274643760004
33,1507.5563,4147.3857,5221.4035,0.0,0.0,0.0,-4281.5862,-35267.6605,1856.6964,18771.8843,-5134.6976,150.45425496,-8044.320499999998,-4984.24334504,-13028.563845039998
34,1508.6111,4111.6151,5197.7631,0.0,0.0,0.0,-4236.289,-35396.8332,1850.9643,18738.7962,-5014.2727,148.0317156,-8225.3724,-4866.2409844,-13091.613384400001
35,1564.9309,4112.1346,5193.331,0.0,0.0,0.0,-4240.8583,-35322.2384,1861.861,18656.0694,-5029.7315,149.65018128,-8174.769799999998,-4880.08131872,-13054.851118719998
36,1480.0618,4094.9846,5182.1511,0.0,0.0,0.0,-4323.7936,-34946.7735,1889.1811,18760.0919,-5373.6612,149.94311904,-7864.096600000004,-5223.7180809599995,-13087.814680960004
37,1542.7113,4166.9685,5216.7574,0.0,0.0,0.0,-4293.1986,-35066.2088,1835.5926,18714.949,-5255.5861,151.2089748,-7882.428599999999,-5104.377125200001,-12986.8057252
38,1452.7926,4089.3038,5200.7231,0.0,0.0,0.0,-4268.0202,-35083.1785,1861.6822,18751.8411,-5272.6263,150.8225832,-7994.855899999999,-5121.8037168,-13116.659616799998
39,1463.3465,4180.5939,5171.6219,0.0,0.0,0.0,-4243.8697,-35307.8677,1882.4606,18816.1177,-5158.8122,148.26203784,-8037.596800000007,-5010.550162160001,-13048.146962160006
40,1601.166,4060.9085,5177.3924,0.0,0.0,0.0,-4274.3998,-35069.8977,1885.0309,18685.7246,-5238.5725,152.53032887999998,-7934.075099999998,-5086.042171120001,-13020.117271119998
41,1472.3203,4071.7622,5197.3714,0.0,0.0,0.0,-4233.0338,-35059.129,1870.7836,18768.0035,-5313.0706,152.7711084,-7911.921800000004,-5160.2994916,-13072.221291600003
42,1483.8892,4049.5553,5167.7534,0.0,0.0,0.0,-4268.2737,-34975.2119,1891.096,18702.9812,-5293.6816,150.39770327999997,-7948.210500000001,-5143.28389672,-13091.494396720002
43,1464.9942,4015.1856,5145.1233,0.0,0.0,0.0,-4213.6736,-35077.5373,1862.3821,18760.0668,-5292.8729,152.34495336,-8043.458900000001,-5140.527946640001,-13183.986846640002
44,1492.1696,4108.1307,5141.0658,0.0,0.0,0.0,-4245.5504,-35135.6783,1860.3231,18758.8892,-5195.2246,150.97056696,-8020.6502999999975,-5044.25403304,-13064.904333039996
45,1506.5621,4131.2127,5173.3374,0.0,0.0,0.0,-4216.3603,-35114.8609,1878.4867,18720.977,-5249.5149,149.84690111999998,-7920.6453,-5099.667998880001,-13020.31329888
46,1521.743,4054.8359,5247.9517,0.0,0.0,0.0,-4257.6292,-35322.025,1887.4033,18781.8463,-5101.9719,148.34480327999998,-8085.874,-4953.62709672,-13039.50109672
47,1519.1966,4126.4146,5170.3015,0.0,0.0,0.0,-4301.2705,-35118.6944,1878.6256,18805.6743,-5275.3701,151.11217151999998,-7919.7523,-5124.25792848,-13044.01022848
48,1506.4713,4223.9743,5149.7711,0.0,0.0,0.0,-4256.7429,-35001.6114,1848.9384,18733.6031,-5324.3845,152.15246424,-7795.5961000000025,-5172.23203576,-12967.828135760003
49,1500.3078,4131.1878,5213.6933,0.0,0.0,0.0,-4240.5763,-34885.3698,1869.8098,18604.8816,-5359.6733,149.91372936,-7806.0658,-5209.759570640001,-13015.825370640001
50,1509.0999,4119.9623,5152.1223,0.0,0.0,0.0,-4239.5702,-35071.853,1850.1098,18752.606,-5309.5817,151.85382768,-7927.522900000004,-5157.72787232,-13085.250772320003
51,1537.2311,4054.9253,5181.2314,0.0,0.0,0.0,-4252.7616,-35103.7661,1874.1256,18743.5351,-5264.6566,151.78019688,-7965.479200000002,-5112.87640312,-13078.355603120002
52,1528.474,4161.4705,5158.2412,0.0,0.0,0.0,-4294.3622,-34753.2053,1839.7937,18635.031,-5434.4937,153.40000104,-7724.557100000002,-5281.0936989599995,-13005.650798960001
53,1542.7075,4001.3893,5121.0003,0.0,0.0,0.0,-4203.4697,-35184.1294,1875.9691,18768.8754,-5205.2137,150.7776624,-8077.657500000001,-5054.4360376,-13132.093537600002
54,1501.5285,4110.8054,5172.2261,0.0,0.0,0.0,-4249.8281,-35101.291,1873.3616,18727.9821,-5205.5497,153.76196663999997,-7965.215399999997,-5051.78773336,-13017.003133359996
55,1510.3175,4100.938,5147.9844,0.0,0.0,0.0,-4260.46,-35159.1536,1868.9601,18715.2152,-5163.9421,152.64585,-8076.1983999999975,-5011.29625,-13087.494649999997
56,1530.4796,4009.7885,5207.3677,0.0,0.0,0.0,-4281.9092,-35259.0629,1902.7845,18828.0137,-5189.0035,147.9750372,-8062.538099999994,-5041.0284628,-13103.566562799993
